model,auc,accuracy,training_time
Logistic Regression,0.982862140825693,0.9913990724687279,4.217799186706543
Support Vector Machine,0.9828515907596966,0.9913789415675429,8.139286756515503
Gradient Boosting Trees,0.9846796757189464,0.9846023769561574,13.203240871429443
